aap	160.51	159.01	147.34	158.52	156.37	161.65	154.36	154.08	145.85	148.41	148.79	145.12	148.43	150.88	142.4	144.16	151.25	156.58	155.96	160.56	162.64	158.7	161.47	169.05	167.69	174.44	171.34	183.76	175.81	174.66	177.98	174.2	191.02	190.61	192.92	193.61	199.64	161.07	162.06	157.4	151.24	149.06	151.74	148.38	143.85	151.01	147.49	137.99	147.42	152.89	153.31	157.53	161.33	160.05	160.07	156.72	155.69	151.13	143.69	153.13	150.31	152.15	154.1	160.65	164.47	164.02	165.84	168.26	166.32	157.69	157.32	161.51	148.61	148.97	146.67	146.49	141.96	138.95	135.93	142.63	169.97	170.44	175.25	173.5	170.16	169.37	172.74	167.24	162.1	163.8	160.91	156.44	154.91	152.17	147.64	142.88	141.58	146.68	140.37	145.96	144.4	131.83	135.41	131.49	120.03	115.98	101.11	100.24	106.63	110.46	107.27	95.13	95.06	93.471	99.447	97.94	98.98	89.4	86.92	81.93	80.71
aapl	107.84	102.01	101.12	107.06	112.32	118.67	123.07	122.67	118.32	122.09	118.07	121.02	120.03	122.22	118.94	121.79	124.23	126.01	123.47	121.37	121.78	119.7	114.59	123.72	117.17	109.41	110.47	107.98	108.6	107.67	111.59	110.24	105.82	106.99	109.08	114.34	116.42	108.15	113.35	111.95	111.84	102.09	104.68	92.85700000000001	93.512	96.266	92.76100000000001	90.7	93.77799999999999	97.309	97.885	102.41	101.82	106.3	108.44	102.57	90.73899999999999	90.366	91.04700000000001	96.99799999999999	95.361	94.796	93.404	91.934	94.154	97.22200000000001	94.14399999999999	103.02	105.68	107.08	104.59	106.1	113.15	110.36	110.18	113.88	114.68	112.1	107.11	104.04	110.03	107.76	112.15	114.8	114.92	116.04	118.1	119.95	126.5	130.6	135.12	138.18	137.08	138.36	139.25	143.1	140.17	140.63	144.89	152.21	149.12	152.72	152.78	145.5	144.78	142.61	143.97	148.95	152.31	154.4	156.92	156.65	162.33	160.68	159.31	150.01	153.92	155.99	155.42	162.47	173.63
aat	37.97	39.167	40.698	41.799	40.931999999999995	39.605	39.874	38.596	38.175	40.629	40.301	40.946999999999996	39.117	38.846	37.389	37.952	38.281	37.878	37.154	37.414	38.236	37.053000000000004	38.178000000000004	38.992	39.133	38.792	38.943000000000005	39.416	37.253	36.269	37.318000000000005	37.955	39.4	40.266	41.246	40.742	39.275999999999996	37.175	38.165	37.033	36.821999999999996	36.61	37.672	36.266999999999996	35.079	36.046	35.501	33.204	34.842	35.96	36.373000000000005	37.298	37.046	37.499	36.891999999999996	36.258	38.214	40.658	38.896	38.204	39.812	39.917	39.656	40.643	42.038999999999994	43.251999999999995	44.152	43.727	43.938	43.019	43.183	44.027	41.104	43.093999999999994	41.407	39.342	39.555	37.489000000000004	37.441	39.975	39.604	38.25	41.845	42.326	41.38399999999999	42.903999999999996	42.354	42.581	41.698	43.071000000000005	43.729	42.964	40.029	41.791000000000004	40.853	41.317	43.458999999999996	43.617	42.66	39.51	38.275999999999996	39.037	39.085	40.726	39.275	39.643	38.003	39.782	39.851	40.04	39.513000000000005	40.169000000000004	40.05	40.486999999999995	40.58	40.04	40.59	41.37	39.87	39.42	38.51
aau	0.92	0.99	1.15	1.2	1.13	1.09	1.1	1.07	0.9	0.95	0.93	0.88	0.8	0.81	0.81	0.8	0.93	0.89	0.88	0.88	0.86	0.84	0.77	0.73	0.58	0.69	0.68	0.64	0.53	0.53	0.51	0.53	0.56	0.53	0.62	0.59	0.55	0.53	0.51	0.52	0.52	0.59	0.7	0.643	0.5685	0.6119	0.62	0.66	0.7714	0.7090000000000001	0.69	0.735	0.6676	0.6756	1.16	1.17	1.149	1.05	1.21	1.04	1.14	1.08	1.21	1.56	1.47	1.44	1.32	1.47	1.68	1.65	1.43	1.63	1.3893	1.43	1.327	1.21	1.28	1.29	1.39	1.18	1.15	1.06	1.1	0.7979999999999999	0.995	0.9997	1.01	1.04	1.16	1.23	1.17	1.16	0.99	1.03	1.11	1.2	1.65	1.5	1.44	1.3	1.35	1.42	1.41	1.385	1.34	1.3	1.17	1.25	1.235	1.12	1.1	1.11	1.19	1.31	1.2	1.17	1.1177	1.171	1.14	1.0112	0.96
aav	4.67	4.47	4.42	4.18	4.45	4.65	5.39	5.2	5.12	5.42	5.31	5.74	5.78	5.98	6.19	6.09	5.81	6.0	5.98	6.31	6.44	6.32	6.21	5.73	5.33	5.64	5.54	5.13	5.39	5.44	5.55	5.4	5.63	6.19	6.02	5.43	5.85	5.5	5.23	5.13	4.62	4.65	5.09	4.74	4.7	5.34	5.5	5.36	5.31	5.12	5.42	5.62	5.18	5.12	5.43	5.45	5.72	5.19	5.86	5.93	5.94	5.69	5.63	5.69	5.81	6.48	6.38	6.37	6.77	7.25	7.04	7.05	6.73	6.73	7.25	7.35	7.68	7.03	6.4	6.65	7.0	7.3	7.3	6.75	6.8	6.6	6.5	6.65	6.45	6.5	6.45	6.05	5.9	5.95	6.4	6.85	6.7	6.5	6.25	6.1	6.5	6.4	6.15	6.25	6.05	6.65	6.7	7.05	7.1	6.55	6.45	6.35	6.35	6.4	6.4	6.65	6.1	5.6	5.5	5.2	5.75
aaww	49.16	46.48	45.48	47.21	47.07	49.97	47.23	45.28	44.98	46.94	44.62	42.51	44.69	42.98	48.74	56.52	58.76	58.05	53.9	54.68	55.64	54.96	52.21	51.33	48.7	48.02	45.17	41.88	41.57	38.86	39.75	36.22	35.98	40.99	40.64	40.27	39.41	39.33	40.76	40.76	40.27	39.59	41.83	35.92	33.37	35.87	35.0	35.47	36.88	37.39	38.65	41.65	40.36	39.46	40.84	40.29	39.94	46.02	42.66	44.97	42.75	44.7	43.23	40.2	40.97	43.26	41.75	38.25	35.02	34.83	35.81	40.19	38.63	40.67	42.21	42.44	42.75	42.05	43.25	50.5	50.9	49.75	52.8	50.5	52.3	50.75	50.85	54.45	52.3	51.9	53.3	57.8	54.2	54.7	51.85	54.05	55.25	57.25	57.9	52.35	46.1	50.05	52.45	53.55	50.3	51.0	56.25	58.7	58.45	65.2	60.65	61.8	64.85	66.25	65.7	66.0	68.25	65.7	63.0	62.25	60.85
aaxn	26.71	25.98	25.23	27.89	25.8	26.27	27.58	22.64	21.84	23.96	24.21	24.51	26.83	29.5	30.19	31.94	32.43	31.41	31.36	33.99	34.0	33.31	32.4	34.0	30.33	26.23	23.25	21.7	23.71	24.28	24.02	24.04	22.59	24.22	22.095	23.48	20.16	17.4	18.24	18.03	17.73	16.89	17.41	16.59	14.63	15.85	15.06	15.41	17.26	19.44	19.54	18.88	18.31	18.54	19.52	18.67	18.27	18.56	20.7	21.95	22.775	22.75	23.12	24.22	27.3	27.99	28.66	28.72	29.12	29.11	28.76	26.13	25.545	28.095	24.29	22.4	23.22	22.52	21.98	27.51	27.99	27.72	23.85	23.99	24.56	24.55	24.82	25.11	25.72	27.34	26.57	24.34	22.49	23.39	22.47	22.0	22.42	23.69	24.75	25.18	24.59	24.99	24.4	24.47	26.02	25.17	25.02	25.24	25.22	25.0	22.36	22.08	21.62	21.49	22.3	22.59	23.2	23.92	24.62	22.92	23.22
ab	20.22	19.552	19.921	20.509	19.049	19.529	21.794	23.276999999999997	22.5	24.362	24.2	24.498	25.461	25.171	25.148000000000003	25.366	25.38	25.683000000000003	25.464000000000002	25.283	24.755	24.031	23.372	23.191999999999997	21.769000000000002	23.615	23.094	22.605999999999998	22.615	21.895	22.555999999999997	21.745	21.438000000000002	22.083000000000002	21.936	22.11	21.285999999999998	20.629	21.766	19.695	20.454	19.594	20.771	18.887	16.364	16.044	15.237	14.235	16.288	17.428	19.044	19.959	19.467	20.746	20.564	20.840999999999998	20.296	19.969	19.660999999999998	20.557	20.636999999999997	20.278	20.189	20.180999999999997	20.382	20.945	21.2	19.336	19.246	19.712	19.756	19.73	20.357	20.679000000000002	20.403	19.569000000000003	19.704	19.479	19.259	21.82	21.684	20.951999999999998	21.226999999999997	20.723000000000003	21.502	22.278000000000002	21.180999999999997	21.456	21.593000000000004	21.409000000000002	22.599	22.101	21.441999999999997	21.019000000000002	20.313	21.206999999999997	21.583000000000002	21.535999999999998	20.831	20.23	20.182000000000002	20.422	21.767	22.345	22.393	22.393	23.113000000000003	23.69	23.93	23.824	23.285	22.893	22.746	22.893	23.726	23.971	24.02	24.756	24.609	25.785	25.45
abac	8.0	7.4	6.8	6.94	5.8	5.92	6.68	6.4448	6.44	5.8	6.24	6.08	6.04	6.6	7.04	6.8	6.52	6.68	6.32	6.4	6.0	5.92	5.44	4.32	4.4	4.8	4.36	3.8	3.16	3.0	3.12	2.7536	2.24	2.0	2.08	2.4	2.48	2.68	2.56	2.8	4.72	4.2	3.96	3.6008	3.68	2.6	2.6384	3.08	2.4804	2.4	2.3996	2.56	2.8	2.7	2.56	2.5136	2.6232	2.8	2.43	2.7039999999999997	2.5644	3.12	3.12	3.12	3.2356	2.9848	2.96	2.6	2.6804	3.16	3.04	2.4884	2.15	2.09	2.01	2.076	2.22	2.7233	2.7367	2.86	2.59	3.2101	3.39	3.45	3.7	3.7	3.6	3.79	3.52	3.56	2.74	2.6824	2.46	2.3	2.46	2.3	2.56	2.2	1.71	1.73	1.8	2.02	2.03	2.145	2.03	2.1	2.1901	2.42	2.22	2.295	2.09	2.06	2.29	2.1991	2.35	2.17	2.5	3.42	3.43	3.5334	3.4
abax	56.32	55.562	55.123999999999995	58.071999999999996	57.868	56.895	58.549	60.964	60.701	61.57899999999999	62.601000000000006	60.701	62.768	61.647	62.379	52.88399999999999	51.898999999999994	52.06399999999999	51.568000000000005	50.162	51.891000000000005	50.28	49.323	53.141000000000005	47.945	48.199	47.143	46.196000000000005	46.772	47.716	46.952	45.88399999999999	44.229	44.7	44.65	52.364	51.758	49.956	53.762	52.747	52.571999999999996	50.196000000000005	55.917	52.07	50.06	51.464	41.614	37.915	38.661	38.375	41.041000000000004	41.2	41.545	43.147	45.115	45.016000000000005	44.582	44.367	43.03	45.185	45.755	44.916000000000004	45.35	45.519	50.253	52.63	48.083	48.70399999999999	49.021	48.34	50.13399999999999	48.611999999999995	48.395	51.5	51.41	51.756	51.806000000000004	46.595	45.815	51.836000000000006	50.797	50.696999999999996	53.602	51.41	51.281000000000006	53.135	47.653	47.583999999999996	50.498000000000005	49.794	49.68600000000001	50.085	48.583	49.041000000000004	47.997	47.111999999999995	46.773999999999994	48.603	45.57	47.728	46.744	48.673	50.29600000000001	51.512	51.333	52.519	52.036	50.81399999999999	51.103	46.119	46.507	46.398	45.68	45.42	44.25	44.75	45.58	45.96	46.8	49.32	47.02
